hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
3,2,0,25.66,28.6,71.7,39.78,167.35,28.74,3.39,0.0,23.74
3,2,0,22.86,25.66,28.6,71.7,320.3,36.83,5.2,0.0,28.96
3,2,0,23.74,22.86,25.66,28.6,385.98,36.63,6.08,0.0,70.36
3,2,0,28.96,23.74,22.86,25.66,355.03,52.38,6.71,0.0,23.14
4,2,0,70.36,28.96,23.74,22.86,179.26,21.18,17.86,0.0,29.8
4,2,0,23.14,70.36,28.96,23.74,285.59,33.95,2.55,0.0,28.3
4,2,0,29.8,23.14,70.36,28.96,127.31,23.65,7.51,0.0,27.3
4,2,0,28.3,29.8,23.14,70.36,324.78,48.97,5.08,0.0,33.52
5,2,0,27.3,28.3,29.8,23.14,284.91,4.82,4.57,0.0,26.22
5,2,0,33.52,27.3,28.3,29.8,385.3,37.36,13.41,0.0,29.6
5,2,0,26.22,33.52,27.3,28.3,305.58,26.04,4.82,0.0,26.66
5,2,0,29.6,26.22,33.52,27.3,195.15,18.83,5.96,0.0,45.84
6,2,0,26.66,29.6,26.22,33.52,375.28,43.83,6.14,1.0,24.86
6,2,0,45.84,26.66,29.6,26.22,295.02,33.62,10.84,1.0,25.24
6,2,0,24.86,45.84,26.66,29.6,321.41,36.98,5.73,1.0,28.42
6,2,0,25.24,24.86,45.84,26.66,299.53,11.35,4.16,1.0,31.86
7,2,0,28.42,25.24,24.86,45.84,257.77,46.91,6.9,1.0,24.48
7,2,0,31.86,28.42,25.24,24.86,296.5,52.76,6.44,1.0,23.92
7,2,0,24.48,31.86,28.42,25.24,165.43,29.64,4.02,1.0,27.9
7,2,0,23.92,24.48,31.86,28.42,374.1,45.96,3.39,1.0,29.0
8,2,0,27.9,23.92,24.48,31.86,357.92,32.49,6.31,1.0,25.42
8,2,0,29.0,27.9,23.92,24.48,271.74,27.3,4.57,1.0,29.94
8,2,0,25.42,29.0,27.9,23.92,296.98,37.23,3.61,1.0,24.36
8,2,0,29.94,25.42,29.0,27.9,342.53,23.37,6.92,1.0,30.28
9,2,0,24.36,29.94,25.42,29.0,307.97,22.46,2.92,1.0,28.18
9,2,0,30.28,24.36,29.94,25.42,337.51,25.31,5.88,1.0,28.82
9,2,0,28.18,30.28,24.36,29.94,222.59,28.14,5.59,1.0,28.26
9,2,0,28.82,28.18,30.28,24.36,158.36,29.61,5.43,1.0,24.06
10,2,0,28.26,28.82,28.18,30.28,310.2,54.74,7.82,1.0,35.48
10,2,0,24.06,28.26,28.82,28.18,145.34,50.07,4.49,1.0,24.16
10,2,0,35.48,24.06,28.26,28.82,356.99,20.54,4.92,1.0,27.1
10,2,0,24.16,35.48,24.06,28.26,146.16,42.66,4.2,1.0,25.7
11,2,0,27.1,24.16,35.48,24.06,189.4,57.27,5.55,1.0,26.66
11,2,0,25.7,27.1,24.16,35.48,140.46,34.13,5.84,1.0,26.0
11,2,0,26.66,25.7,27.1,24.16,328.56,30.9,4.96,1.0,29.26
11,2,0,26.0,26.66,25.7,27.1,295.04,27.23,4.82,1.0,26.78
12,2,0,29.26,26.0,26.66,25.7,113.5,37.57,10.84,1.0,27.1
12,2,0,26.78,29.26,26.0,26.66,373.97,55.79,4.69,1.0,26.31
12,2,0,27.1,26.78,29.26,26.0,362.44,34.56,5.65,1.0,26.62
12,2,0,26.31,27.1,26.78,29.26,291.47,30.7,4.77,1.0,24.64
13,2,0,26.62,26.31,27.1,26.78,323.63,38.3,7.67,0.0,23.52
13,2,0,24.64,26.62,26.31,27.1,140.24,7.83,4.27,0.0,24.82
13,2,0,23.52,24.64,26.62,26.31,312.72,39.6,3.04,0.0,25.52
13,2,0,24.82,23.52,24.64,26.62,336.23,38.88,5.76,0.0,23.66
14,2,0,25.52,24.82,23.52,24.64,140.26,10.03,4.2,0.0,28.66
14,2,0,23.66,25.52,24.82,23.52,149.88,44.46,4.14,0.0,25.62
14,2,0,28.66,23.66,25.52,24.82,268.66,32.32,8.2,0.0,23.94
14,2,0,25.62,28.66,23.66,25.52,268.7,50.52,4.45,0.0,26.06
15,2,0,23.94,25.62,28.66,23.66,143.92,26.91,2.45,0.0,24.86
15,2,0,26.06,23.94,25.62,28.66,246.99,38.97,7.61,3.0,22.72
15,2,0,24.86,26.06,23.94,25.62,191.65,44.69,5.53,3.0,39.65
15,2,0,22.72,24.86,26.06,23.94,317.73,33.23,3.69,3.0,24.44
16,2,0,39.65,22.72,24.86,26.06,100.2,24.28,8.62,2.0,23.46
16,2,0,24.44,39.65,22.72,24.86,323.18,31.87,2.8,2.0,24.3
16,2,0,23.46,24.44,39.65,22.72,131.85,35.96,3.2,2.0,21.12
16,2,0,24.3,23.46,24.44,39.65,137.36,51.27,2.9,2.0,25.84
17,2,0,21.12,24.3,23.46,24.44,321.62,24.74,3.04,2.0,25.78
17,2,0,25.84,21.12,24.3,23.46,290.36,8.55,3.88,2.0,22.61
17,2,0,25.78,25.84,21.12,24.3,207.53,23.76,6.06,2.0,24.8
17,2,0,22.61,25.78,25.84,21.12,284.91,32.1,3.35,2.0,26.94
18,2,0,24.8,22.61,25.78,25.84,146.17,19.02,3.29,1.0,23.16
18,2,0,26.94,24.8,22.61,25.78,217.21,26.77,5.49,1.0,30.32
18,2,0,23.16,26.94,24.8,22.61,253.1,27.38,5.18,1.0,22.14
18,2,0,30.32,23.16,26.94,24.8,139.41,42.0,4.84,1.0,24.34
19,2,0,22.14,30.32,23.16,26.94,295.18,25.47,3.51,1.0,23.14
